0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
19	19	4	19	5	24	90	8	90	4	22	5	90	90	4	22	5	90	90	8	27	4	17	24	5	4	17	24	5	23	19	8	4	19	4	17	24	5	24	5	19	90	9	90	90	90	90	90	9	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	91	90	4	19	24	5	90	4	19	5	91	90	8	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	90	4	22	5	90	8	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17	27	4	17	24	5	4	23	90	8	90	90	4	22	5	90	90	90	8	19	91	8	90	90	91	91	8	5	90	8	90	90	90	4	22	5	94	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	4	19	5	4	19	5	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	9	90	90	90	4	22	5	90	10	90	9	19	4	17	24	5	23	4	19	90	9	90	91	90	90	4	19	2	23	5	90	9	5	19	10	17	24	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17	27	8	4	17	24	5	23	19	4	23	90	9	90	90	90	90	4	26	5	90	9	5	17	23	90	9	90	4	24	5	90	90	4	22	5	90	90	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	90	90	90	90	9	90	8	90	4	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	4	22	5	94	8	5	91	91	9	19	90	8	90	90	90	90	4	19	23	19	4	24	5	19	4	19	5	17	24	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	90	8	91	90	9	91	90	4	19	10	19	19	10	5	90	4	19	90	10	90	90	90	90	4	20	5	90	10	5	90	4	24	5	91	9	91	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17	19	4	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	4	20	5	90	90	8	5	23	8	19	19	19	4	23	9	19	19	19	4	24	90	10	90	90	90	4	22	5	90	4	22	5	90	10	5	19	19	9	5	19	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	90	90	90	90	9	90	8	90	4	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	4	22	5	94	8	5	91	91	9	19	90	8	90	90	91	90	4	19	23	19	4	19	5	17	24	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	90	8	91	90	9	91	90	4	19	10	19	19	10	5	90	4	19	90	10	90	90	90	4	26	5	90	90	10	5	90	4	24	5	91	9	91	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	24	90	8	91	90	4	26	5	90	91	90	8	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	4	22	5	94	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	90	90	90	90	4	19	90	9	90	4	19	10	19	19	10	5	91	90	10	91	90	4	23	5	91	91	10	90	9	24	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	4	19	5	90	8	91	90	9	91	90	4	23	5	91	91	9	90	4	24	5	90	8	19	90	8	90	90	4	26	5	90	90	4	26	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	8	19	19	19	23	4	19	4	17	24	5	19	4	19	19	91	9	90	90	90	90	9	19	2	23	5	23	27	4	17	24	5	4	17	24	5	90	9	90	90	4	22	5	90	4	23	5	90	4	22	5	90	9	5	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17	27	8	4	17	24	5	23	19	4	23	90	9	90	90	90	90	90	9	24	90	9	90	90	90	90	90	9	5	17	23	90	9	90	4	24	5	90	90	4	22	5	90	90	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17	19	4	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	90	90	8	5	90	8	90	90	9	90	90	90	90	90	9	91	8	19	90	8	90	90	90	4	22	5	90	4	22	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2	19	90	8	90	90	90	91	90	8	27	19	90	8	90	90	4	24	5	91	9	91	90	4	19	90	10	90	90	90	90	90	10	5	91	90	9	91	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	91	8	91	91	90	90	8	19	4	17	24	5	90	8	90	90	4	22	5	90	90	90	8	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	4	19	4	19	5	4	19	5	19	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	90	90	90	90	9	90	8	90	4	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	4	22	5	94	8	5	91	91	9	19	90	8	90	90	90	90	4	19	23	4	19	5	19	4	19	5	17	24	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	19	19	4	17	24	5	23	8	19	19	19	4	23	27	4	17	24	5	4	17	24	5	90	9	90	90	90	4	23	19	4	17	24	5	90	10	90	90	90	4	19	19	5	90	90	10	5	90	10	90	90	90	90	90	9	10	5	19	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	90	8	90	90	90	4	19	4	17	24	5	90	9	90	90	4	22	5	90	90	90	9	23	27	4	17	24	5	4	17	24	5	90	9	90	90	90	4	23	10	19	19	4	19	5	24	19	4	19	5	19	10	5	90	90	9	5	90	91	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	24	90	8	90	90	90	4	19	17	23	23	90	9	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	10	90	90	90	90	90	10	19	4	17	24	5	24	5	90	90	9	47	4	17	24	5	56	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	19	19	4	17	24	5	23	8	19	19	19	4	23	27	4	17	24	5	4	17	24	5	90	9	90	90	90	4	23	19	4	17	24	5	90	10	91	90	90	91	10	19	5	90	10	90	90	90	90	90	9	10	5	19	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	90	90	90	90	90	8	27	4	17	24	5	4	17	24	5	23	19	4	17	24	5	23	8	19	19	19	4	23	9	19	19	19	4	24	90	10	90	90	90	4	22	5	90	4	22	5	90	10	5	19	19	9	5	19	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	19	4	17	24	5	23	9	19	19	19	4	23	10	19	19	19	4	24	90	11	90	90	90	4	20	5	90	4	20	5	90	11	5	19	19	10	5	19	19	9	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	91	90	4	26	5	90	91	90	8	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	4	22	5	90	4	22	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17	19	4	90	8	90	90	78	4	56	5	90	90	8	5	90	8	90	90	4	22	5	90	90	90	8	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	4	23	9	19	19	24	19	19	9	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	9	90	90	90	4	22	5	90	90	9	19	4	17	24	5	23	90	9	90	90	90	90	90	9	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	4	19	5	4	19	5	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	9	90	90	90	4	22	5	90	10	90	9	19	4	17	24	5	23	4	90	9	90	90	90	4	20	5	90	91	9	5	19	10	17	24	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	4	19	5	4	19	5	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	9	90	90	90	4	22	5	90	90	9	19	4	17	24	5	90	9	90	90	90	90	78	9	56	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	9	90	90	90	4	26	5	90	90	9	19	4	17	24	5	90	9	90	90	91	90	90	9	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17	19	4	19	8	17	19	4	24	5	19	4	17	24	5	23	4	90	9	90	90	90	4	26	5	90	90	9	20	5	19	8	19	8	19	19	19	19	19	8	5	19	8	19	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	90	8	91	90	90	90	90	8	24	90	8	91	90	90	4	22	5	90	90	8	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	4	22	5	90	4	22	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17	19	4	24	5	90	8	90	90	90	4	24	90	9	91	90	90	4	22	5	90	90	9	23	27	4	17	24	5	4	17	24	5	90	9	90	90	90	4	22	5	90	4	22	5	90	9	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	19	19	4	17	24	5	23	8	19	19	19	4	23	27	4	17	24	5	4	17	24	5	90	9	90	90	90	4	23	19	4	17	24	5	90	10	90	90	4	19	5	91	90	4	22	5	90	10	5	90	10	90	90	90	90	90	9	10	5	19	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	4	17	24	5	23	19	90	8	90	90	90	90	4	19	91	9	91	90	4	23	27	4	17	24	5	4	17	24	5	90	10	90	90	90	4	22	5	94	10	5	90	10	90	4	19	4	19	5	4	19	5	24	5	90	90	90	90	10	9	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	8	4	90	9	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	10	90	90	90	4	22	5	90	90	10	19	4	17	24	5	90	10	90	90	90	78	4	56	5	90	10	5	90	90	9	5	19	19	24	19	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	8	4	90	9	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	10	90	90	90	4	22	5	90	90	10	19	4	17	24	5	90	10	90	90	91	90	90	10	5	90	90	9	5	24	19	19	24	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17	27	8	4	17	24	5	23	19	4	23	90	9	90	90	90	90	90	9	24	19	4	20	5	4	20	5	20	5	17	23	90	9	90	4	24	5	90	90	4	22	5	90	90	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	90	8	90	90	90	4	19	4	17	24	5	90	9	90	90	4	22	5	90	90	90	9	23	27	4	17	24	5	4	17	24	5	90	9	90	90	90	4	6	90	10	92	90	91	90	10	19	5	90	90	9	5	90	91	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	90	8	91	90	9	91	90	4	6	90	10	90	90	90	90	90	10	5	90	4	19	90	10	90	90	90	90	4	22	5	90	10	5	90	4	24	5	91	9	91	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	90	90	90	90	90	8	19	91	8	91	90	4	23	27	4	17	24	5	4	17	24	5	90	9	90	90	90	4	22	5	94	9	5	90	9	90	4	24	19	5	90	90	90	90	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	90	8	90	90	90	90	90	8	19	4	17	24	5	23	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	19	9	19	19	23	4	19	4	17	24	5	19	19	23	5	19	19	9	5	90	9	90	90	90	90	90	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	90	8	91	90	4	19	5	90	4	6	90	9	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	10	90	90	90	4	22	5	90	90	10	19	4	17	24	5	90	10	90	90	91	90	90	10	5	90	90	9	5	92	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17	27	4	17	24	5	4	23	19	19	19	23	8	19	19	19	4	24	5	4	90	9	90	90	90	4	22	5	90	90	9	5	19	19	8	5	90	8	90	90	4	22	5	90	90	90	8	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	91	90	4	22	5	90	91	90	8	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	90	4	20	5	90	8	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2	19	90	8	90	90	90	91	8	19	19	19	4	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	90	9	81	90	90	90	8	9	5	19	4	17	24	5	23	8	19	19	19	4	19	4	20	5	4	20	5	20	5	19	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	24	19	4	17	24	5	23	8	19	19	19	4	23	27	4	17	24	5	4	17	24	5	90	9	90	90	90	4	19	4	17	24	5	23	90	10	90	90	90	90	90	10	19	5	90	10	90	90	90	90	90	9	10	5	19	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	4	17	24	5	19	8	17	19	4	24	5	19	4	17	24	5	23	4	90	9	90	90	90	4	19	5	90	90	9	5	19	8	90	8	90	90	90	90	4	26	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	27	4	17	24	5	4	17	24	5	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	9	90	90	90	4	26	5	90	90	9	19	4	17	24	5	90	9	90	90	91	90	90	9	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	4	19	5	4	19	5	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	9	90	90	90	4	22	5	90	90	9	6	90	9	91	90	90	90	4	19	4	23	5	17	24	5	90	9	24	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	91	8	91	90	90	9	90	4	23	27	4	17	24	5	4	17	24	5	90	10	90	90	90	90	4	22	5	90	10	22	5	91	90	91	90	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17	27	8	4	17	24	5	23	19	4	23	19	90	9	90	90	90	90	90	9	22	5	17	23	90	9	90	4	24	5	90	90	4	22	5	90	90	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	90	90	90	90	90	8	19	90	8	90	4	19	9	19	19	9	5	91	90	9	91	90	4	23	5	91	91	9	90	8	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	8	19	19	23	4	19	4	17	24	5	19	4	19	19	90	9	90	90	90	90	90	9	5	23	27	4	17	24	5	4	17	24	5	90	9	90	90	4	22	5	90	4	23	5	90	4	22	5	90	9	5	19	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	4	19	5	24	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	9	90	90	90	4	26	5	90	90	9	19	4	17	24	5	90	9	90	90	91	90	90	9	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	90	90	90	9	90	4	90	91	91	9	19	5	90	8	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	90	4	22	5	90	8	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	90	90	90	90	9	90	8	90	4	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	90	4	22	5	90	8	22	5	91	91	9	19	90	8	90	90	90	90	4	19	23	19	4	17	24	5	19	4	19	5	4	19	5	24	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	24	90	8	90	90	90	90	9	90	8	90	4	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	4	22	5	94	8	5	91	91	9	19	90	8	90	90	90	90	4	19	23	19	4	17	24	5	19	4	19	5	24	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	4	19	5	19	24	90	8	91	90	4	22	5	90	91	90	8	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	90	4	22	5	90	8	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	4	19	5	4	19	5	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	9	90	90	90	4	27	4	17	24	5	4	17	24	5	23	10	19	19	19	19	10	5	90	90	9	19	4	17	24	5	90	9	90	90	91	90	90	9	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	90	8	90	90	4	19	4	17	24	5	23	19	19	23	9	19	19	19	19	19	9	5	90	90	90	8	24	90	8	90	90	90	4	22	5	90	90	8	23	27	4	17	24	5	4	17	24	5	90	8	90	90	90	4	22	5	90	4	19	4	20	5	4	20	5	20	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	4	19	5	4	19	5	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	90	9	90	90	90	4	22	5	90	90	9	6	90	9	91	90	90	91	90	9	23	19	19	24	5	90	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	17	19	19	23	4	19	4	17	24	5	19	90	8	90	90	90	4	27	4	17	24	5	4	17	24	5	23	19	5	90	90	8	5	19	8	19	19	23	4	19	19	9	19	23	4	19	4	17	24	5	19	10	19	19	19	19	10	5	19	19	9	4	24	5	90	9	90	90	90	90	4	20	5	90	9	5	19	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	19	19	19	19	90	8	91	90	9	91	90	4	23	5	91	91	9	90	4	24	5	90	8	19	90	8	90	90	90	90	4	22	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2	19	90	8	90	90	90	91	8	19	19	19	4	23	27	4	17	24	5	4	17	24	5	90	8	90	90	4	22	5	90	4	23	5	90	4	22	5	90	8	5	19	4	17	24	5	23	8	19	19	19	19	19	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	17	19	4	24	5	90	8	90	91	90	90	4	24	90	9	91	90	90	4	22	5	90	90	9	23	27	4	17	24	5	4	17	24	5	90	9	90	90	90	4	22	5	90	4	22	5	90	9	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	90	8	90	90	4	19	27	90	9	90	90	90	90	4	20	5	90	9	20	5	91	90	9	91	90	4	19	90	10	90	90	90	90	90	10	5	91	91	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	4	17	24	5	19	8	17	19	4	24	5	19	4	17	24	5	23	4	90	9	90	90	90	4	26	5	90	90	9	20	5	19	8	90	8	90	90	90	90	4	26	5	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
